City,Population as of (2010  Census),State,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
Santa Monica,89736,CA,371,286800,285900,283400,282800,282700,283200,285100,287000,289400,293800,298700,302100,305600,309300,313000,316000,318300,321300,325400,329200,332500,338000,344200,349100,353000,356800,360500,365500,372600,378700,382000,385100,389400,391900,392400,392100,392500,394800,397700,400600,406300,412200,417100,420800,422900,423600,425400,427600,430700,435300,441600,448000,453400,457900,461400,464900,470100,476100,479800,480900,480800,483300,488800,495300,498700,501500,506100,512800,517400,520100,521400,522000,525600,535100,543700,547200,551400,558200,564500,570900,580300,593000,606900,620400,630200,634400,633200,633800,640500,649900,661700,680200,700300,715500,727800,741300,757300,776500,794700,807500,812200,814800,819300,824200,831700,847100,865400,886600,904000,913600,923700,940700,960100,977100,985200,984000,982800,980000,979100,985100,996500,1005000,1014900,1024000,1025900,1021600,1018600,1009700,994500,983600,979100,972500,970600,975600,983200,989100,993500,995200,999600,1003100,1007500,1010900,1007700,992400,971500,949700,931300,918800,911500,906700,903000,900800,904200,911200,911800,904500,896100,887900,876000,866900,864500,867900,868700,872700,852300,818800,803500,807100,803400,798600,798100,800200,803400,803000,798000,790600,793100,800100,800100,795600,792600,790200,789000,783500,774000,766700,766100,767800,768600,768300,771100,776600,783600,793000,802200,808700,811600,815400,823500,836500,855600,873500,889300,909300,929900,943600,955800,963900,968400,971500,969200,963000,971900,987300,995000,997000,1009800,1024000,1032900,1046700,1065100,1079900,1095300,1118600,1137700,1153400,1163400,1172400,1182300,1202900,1229900,1254800,1264800,1272500,1276800,1277100,1279600,1295600,1318400,1335600,1352300,1368900,1373300,1369200,1382100,1398600,1399300,1393100,1396100,1406100,1413200,1417700,1423000,1421100,1416500,1417700,1426200,1439400,1475700,1512800,1525300,1524500,1531600
Sierra Madre,10917,CA,3787,246300,248000,249300,251900,253600,254400,254500,255300,256200,258000,260300,260300,257500,255000,254400,255300,257700,262000,266800,269700,272000,276600,280200,281700,284600,290300,295200,298400,301100,303600,307200,311400,313800,315000,315000,314900,316600,320400,324000,327000,330700,335300,340800,346500,352100,358900,365000,367100,366800,367100,366500,364900,364500,367200,370000,372000,373800,376500,379100,381100,380800,380900,384900,391800,396900,398900,401700,406100,408700,409900,414900,423900,432400,438400,442900,447200,452200,458500,464100,468500,475100,484300,492500,499100,507500,515800,523200,530200,536500,542300,552000,565600,580200,589900,596700,604100,618600,636700,651500,660600,669500,677000,680900,682900,685700,691600,698300,705800,714000,725600,741200,758000,771200,779200,781200,779500,779300,782400,786100,786800,783500,777600,774000,774800,776500,777300,779500,782200,780700,779000,782000,788400,789200,788100,785600,783600,784400,787200,785200,779900,775900,772900,767000,755300,746100,740300,733000,723200,714600,707900,703600,699600,695800,692800,687700,679200,670600,662300,657200,658000,662600,667100,671400,678000,678900,673200,672400,677300,679100,678000,673500,663400,653400,648100,647400,647500,649200,652000,652800,655700,657000,651700,644500,642800,640500,634700,627100,622600,621900,623200,623000,622800,626500,633900,642900,651700,654400,651300,650000,652000,656600,663400,672300,683900,697900,712400,729100,739600,745600,756000,767600,772700,776200,778200,781200,786200,787700,786900,793600,804200,807300,802800,802800,807600,814000,819600,823400,823000,821400,823000,834900,850100,859400,867300,876900,883700,890800,898900,904700,909300,914000,922400,909400,891700,901700,927800,934200,936300,939600,943100,946700,953400,967100,976700,972200,962100,959900,963600,976500,988500,994200,1000300,1008000
Signal Hill,11016,CA,4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369100,361900,353900,347800,341500,334000,327800,324000,320800,317000,313100,309700,307200,306100,306000,305000,302300,299600,299200,300400,301600,302400,304700,308800,311500,312100,312200,314100,315900,316600,320300,327500,334600,342000,350400,357300,364100,373800,383300,388500,389500,391200,390300,388700,389400,393700,396800,398900,400000,400100,400200,402200,405300,408500,414000,420600,426400,431000,432400,430900,430800,432500,433300,434200,435400,435800,436300,437900,440200,440300,447000,456200,457300,452900,453100,453800,454000,453700,454300,456900,460400,465400,468700,471400,476200,481500,485300,490100,493100,496200,500000
South El Monte,20116,CA,2277,134600,134400,134200,134400,134900,134800,134100,134300,135100,135900,136600,137100,137200,136800,136100,135400,135300,135400,135600,135800,136600,138300,139700,140500,141100,141400,141400,141800,142200,142300,143000,144300,145000,145100,145200,145500,146000,147100,148000,148200,148300,148600,149200,149400,149500,149900,150800,152000,153500,155500,157100,158500,159500,160800,162300,164000,165400,167300,169300,170100,170000,170000,170700,171400,172200,172700,173700,175500,177700,180300,183600,187100,190300,193400,197500,202100,206500,211300,215200,217400,219500,222600,225900,229700,234100,238000,240600,242600,245100,248700,253100,257700,262900,267700,272400,278100,284600,291600,300400,310800,320400,328300,334500,340300,347000,353500,359100,365200,372500,380500,387500,394600,402400,410700,420500,432100,440100,443000,444600,445500,445200,446400,448700,449700,450400,450700,448400,446000,445900,448300,453100,457800,460400,460400,458700,455700,452000,448000,444400,438400,427800,416400,406400,397200,388800,380600,371000,362000,354600,347600,341400,335900,329900,324000,318500,313300,307600,301200,296300,293900,291700,289400,288000,287400,290800,297600,301900,301400,301500,303100,305200,305900,306800,307700,308600,309700,310500,309300,307300,306900,306700,306000,304200,301800,299500,297700,296000,294800,293600,292500,291900,292000,292800,294900,297600,300600,304100,308300,311500,313800,316200,318600,321700,326700,331500,335900,342100,349700,354600,356800,358400,361400,365100,370000,375800,381100,385500,389100,390900,391200,392400,395300,398800,399900,398800,398400,399800,402300,404900,406900,407900,409000,410500,411200,411000,412000,413800,415100,417600,421300,424700,427300,430600,434000,436000,436200,437600,441000,444000,445100,445600,447500,450900,454400,456300,456800,458300,462100,468100,474400,479400,483300,486400
South Gate,94396,CA,324,141900,142100,142300,142400,142400,142300,142100,141800,141900,142500,142900,142700,142600,142500,142300,141800,141400,141300,141300,141400,141500,142000,142800,143300,143500,143600,143300,143200,143500,144300,145300,146100,146000,145200,144900,145000,145000,145300,145800,146500,147100,147800,148400,149200,150300,151500,152700,153600,154500,155600,156900,158200,158900,158900,159100,159400,159900,160900,162200,163400,164500,166000,167600,169100,170200,171600,173000,174300,175900,178100,180500,183100,185500,187400,188800,189900,191700,193900,196400,199600,203100,206500,210100,214100,218100,221700,225200,229300,233300,237100,241400,246000,251000,256800,263200,269200,275100,281600,288800,297100,306600,315800,323500,330600,338200,345400,351600,357600,364200,371400,378300,384000,389700,396700,404800,412500,418800,422900,425800,429200,434600,442400,451600,459800,464800,466700,467000,467900,468100,467900,469300,472300,474200,474900,474400,472400,468600,464500,460600,456000,447600,437100,427900,418300,405800,392600,377500,361800,348800,338200,327900,318100,307400,297100,288100,279800,270600,260600,251400,245600,243000,241400,240400,239000,243500,251400,255100,253300,252900,252900,254600,256900,258100,258500,258800,258900,257800,256000,254500,254200,254300,254700,254300,253000,251100,248900,247000,245600,244600,243700,243800,245000,247600,251300,256300,261300,265100,268400,271100,273900,275200,275700,277600,282400,287900,294300,300300,305300,309800,313800,317300,320200,322000,323700,326300,328000,328600,329500,331300,333800,336300,337800,338900,340300,341900,343000,345300,349700,354500,357200,358000,358300,358800,360000,361900,365200,369100,372600,375800,379400,382800,385400,386500,387400,388700,391000,394000,397200,399300,401400,405400,409700,412200,414300,417200,419200,421300,424500,427800,431000,434600,438000,440000
South Pasadena,25619,CA,1850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755200,740600,722400,708700,700800,696700,703500,719300,728600,729100,729200,732000,736400,737800,739300,744200,749900,752300,748700,743700,742500,750800,769200,786300,790900,787800,791400,802200,810500,812300,820000,830000,838800,845900,855200,869400,884300,892400,897300,904100,907100,909400,914800,922900,919100,910200,920400,945400,961200,961200,953400,946600,947700,950600,951800,960300,979000,1008900,1045800,1072400,1079300,1081100,1091500,1103700,1104500,1094000,1085800,1083900,1091300,1112300,1076900,1009300,991900,1034000,1071700,1100800,1125800,1147400,1160800,1172000,1188200,1197100,1205400,1215800,1221800,1228700,1237700,1235300,1222700,1225700,1238600
Temple City,35558,CA,1569,190500,190200,190100,190000,189200,188100,187100,187200,188500,190200,191100,191400,191100,190600,190700,192100,194100,196300,197900,198800,199300,200000,200700,201900,203100,204400,206000,207400,208700,210500,213000,215600,216800,216600,216100,215400,215100,216600,218400,218100,217100,217300,219400,222300,225200,228000,230500,232000,233200,234600,236200,238200,240800,243500,245600,247200,249100,251700,253500,255300,258000,260200,261100,261700,263200,265400,268200,271200,274700,278800,284200,289300,293400,297100,301700,307800,314200,319200,323700,327900,332600,338100,344700,352100,358200,362300,364800,367500,371500,376500,381700,388500,395800,401900,406500,412300,420100,429900,442000,454200,463800,470200,472800,473200,475100,478700,485000,495200,507900,519600,528800,537500,546200,554700,564300,573600,579200,582700,585000,586000,585500,585900,587800,589200,587800,586200,586600,588100,586600,584500,583700,582800,579800,576700,572200,569400,569600,570000,566200,559500,552300,547800,545900,542000,535200,528500,522700,517200,513000,509800,507800,507900,508100,507400,507200,507200,505000,500900,498400,498500,500400,503800,509100,513700,525700,538100,539000,530300,530300,537700,543100,538700,532300,528400,527400,528000,527700,526300,527500,531600,533100,530300,526500,527100,527000,524600,521700,517100,509700,505600,506600,510900,514300,515200,516500,521500,529000,537400,542800,545800,548300,551200,554500,558900,562600,570400,584100,599500,609400,615400,619400,628500,637700,642700,643000,645800,652400,662200,670100,675200,677400,675700,675900,678400,679000,677000,678400,683900,691100,694700,692400,688600,687800,688200,687800,689400,694100,700100,706600,713400,719000,720900,722800,724400,725900,727700,730200,730900,734000,739800,748000,754500,756600,757300,759500,759200,760600,767000,776200,783100,786800,789500,792800
Torrance,145438,CA,197,230200,231700,233200,234200,234300,234200,235000,235800,236000,237000,238300,239100,239900,240600,240900,242200,245100,248200,250900,253800,257400,261100,264000,265600,266900,269700,273800,277500,280800,283800,286000,286200,285300,285200,286600,288300,289500,290900,292900,295200,297000,298800,300400,302800,305900,309600,313800,317800,319800,321100,323100,324300,323600,322600,322900,325100,329000,334000,338500,341900,344300,345600,346000,346600,348600,351300,355100,359800,363500,365800,367700,370000,374600,382300,390200,397900,406400,415000,421900,426400,429900,433600,438400,444300,450500,454600,457600,462300,470300,479800,489600,500000,511400,521000,528500,536600,545900,557100,569600,581700,589900,595900,600800,605200,609600,616000,624600,634100,643500,651500,658100,664900,671900,678100,684100,689800,694700,699300,703000,704200,703100,700800,699700,698300,694900,691300,689300,688100,684900,681700,681100,682700,684400,685800,685000,682000,679300,675900,669800,661500,654500,648700,642100,633300,625000,618500,611500,603200,596000,590900,586800,583500,580400,577900,574600,570000,564500,558100,553700,554200,557300,560400,565100,571000,576200,579700,582300,583300,584100,584100,582900,580400,578900,577900,577500,576700,576000,575100,573600,571600,568600,566100,566700,567900,565800,560900,554700,549700,545700,543100,542300,544200,548900,556000,562100,566700,571100,573900,574100,575700,580500,585300,589700,597600,607000,615500,622400,627800,631000,636100,642100,647200,650800,654300,658300,662100,663100,663000,664800,667100,668600,672300,678100,682300,684100,687000,690000,691900,693700,696100,698400,701900,705000,706800,709200,713000,717600,722300,727500,732900,739400,742800,741700,737800,737800,741900,748100,753800,757700,759600,762800,767700,772600,777600,783300,788700,794600,801200,806800,811600,816300,821300,824800
Vernon,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut,29172,CA,1589,227000,227000,227200,227400,228000,228600,228200,227600,227400,227900,229000,230400,231600,231800,231600,232000,233200,235000,237600,240100,242100,244500,246300,247000,248000,250100,251800,252500,252800,253800,255500,257800,261300,264400,266500,268400,269400,269700,270700,272000,273000,274000,275400,277000,279400,283200,287000,289500,290600,290700,291200,292400,292800,292700,294500,299200,305100,311300,316800,320700,322900,324200,324900,325600,328000,331900,335600,338600,341100,342700,343800,346300,350500,355900,361600,366900,370900,374200,377800,382100,387300,392900,398700,405200,412300,418400,422700,427700,435700,444800,453800,460900,465100,469500,476300,486300,500100,516600,532900,547700,558400,566600,573500,579300,585100,591000,597900,604300,608600,612800,621700,634600,648100,658900,667700,675500,681300,684600,687200,687600,687600,689900,693200,694700,695400,695600,693700,690900,687700,686000,684800,683900,683900,684000,680600,674300,669000,665900,661500,652900,643600,636200,630000,623000,613600,603500,593600,584000,576400,571700,567900,565400,563800,562000,559200,555700,550400,542800,537800,538300,542000,546100,550300,554600,560200,563700,563200,563000,565900,569000,570000,569100,566000,559500,556100,559200,562600,563800,566400,568500,565600,562000,560000,560000,558700,554800,548800,542100,537400,536600,537300,538300,541800,545400,549400,552900,554900,558000,564500,571700,577600,584600,593200,604400,620100,639600,656800,665800,670600,679300,687700,693400,697800,698600,698100,698900,704300,713700,725200,732400,736000,735300,735500,736300,742400,751200,755200,754500,752900,749200,747700,753100,759000,762100,763300,762400,759400,758800,762800,767500,766500,761000,748100,734600,732400,740000,746100,752500,757900,762800,768500,774700,779700,784100,788600,794200,800400,805600,809200,813900,817900,819500,820200
West Covina,106098,CA,301,154400,154800,154700,154400,154200,153800,153600,153800,154300,155100,156000,156500,156400,156400,156600,156800,156800,157300,158200,158900,159800,161300,162800,163700,164200,164400,164500,164700,165000,165600,166600,167400,167700,168200,169000,169700,170300,171300,172400,173400,174400,175500,176700,178400,180200,182100,184300,185900,186800,188100,189900,191900,193800,195300,196400,197700,199100,200700,202500,204200,206100,209000,212200,214500,215800,217400,219300,221400,224100,227300,230400,233400,236800,240200,243600,247300,251700,256200,260900,265600,269800,273100,276500,280600,284700,288100,291000,294800,299200,303700,308400,314100,320300,327600,335600,343300,351500,359900,368500,377300,386500,394300,400000,403800,408300,413300,418200,424100,431200,438100,444700,451600,459300,468000,477000,485800,492900,497500,501400,506300,510600,514400,519600,524200,525500,525100,524600,524300,522200,519400,518500,517800,516100,513600,509600,503700,497300,491100,485300,479100,469400,458700,448200,437100,425900,416400,405700,395900,389100,383800,378800,374400,369300,364400,360500,357000,352700,347800,343600,341400,340600,340300,340500,339700,345300,355100,361800,363300,365700,366000,367200,367800,368500,368000,367000,366100,365400,363700,361200,359000,356200,354900,354000,351900,348200,345800,344100,343100,341800,339700,338000,338000,338900,340700,343800,347600,350000,351300,352600,355300,358100,360800,364700,370700,378200,386300,394200,401600,408000,412800,417000,421700,424000,425800,429200,433800,436500,439200,441300,443600,446200,449600,451800,452500,452800,454100,454900,456000,458500,460700,461800,463300,465200,467200,469500,471400,472700,474100,476700,480200,483800,486000,488000,490000,492100,494200,498500,504000,508900,511900,515500,519800,523900,527800,531000,533300,536700,541000,544200,547700,551000,554300,557200
West Hollywood,34399,CA,1327,144700,144500,142600,141700,142400,143800,144800,144900,145800,147700,149800,151600,153200,154900,156600,157400,156500,157500,161800,166400,169100,173200,178600,182800,185100,187800,190200,192700,195100,196700,197700,199500,201600,202800,203700,204300,204900,207000,211900,217200,221100,223300,225100,227700,229700,230500,233100,237200,241100,245300,250300,254200,258200,261700,264200,266800,272000,278500,285100,289700,291700,292000,291600,292700,294400,297100,300900,305500,309100,313500,316700,318400,319800,321800,324400,329400,337800,347800,356100,362900,369500,375500,380000,383800,388200,393100,399300,407400,414500,418900,423400,427100,430400,435900,443500,453200,467600,484200,498500,510700,521700,530700,538700,548100,558900,568700,577400,586500,598700,614300,627800,634500,638800,644800,650600,653000,652800,652200,653100,656500,659200,659300,656500,653900,652500,652400,651300,652100,657600,664500,671000,675900,678000,678000,677000,672900,666700,661500,657000,651500,650200,648900,640200,627500,616900,605100,594200,586200,580200,575300,570500,565200,563600,565300,564900,559400,552900,546000,543500,545100,547500,546600,542200,541700,525500,496800,479300,478300,476100,475300,473700,472300,470000,466100,464400,465600,469600,477500,481600,478300,473300,469800,466900,461800,454900,450100,448100,446100,445100,443800,442700,442800,443000,442600,443200,443200,442400,443900,449500,454800,460300,467500,477800,489600,501100,512100,522000,532900,547000,559400,565200,565900,568000,573400,579900,584700,590600,595200,597800,601000,605000,612200,621800,625000,626800,633600,639700,640100,640600,641400,644700,650500,655900,659300,660100,662800,670900,680600,688100,695000,701100,704500,706900,710900,714500,717100,718900,721400,724200,726400,725400,723300,726100,734100,738900,736200,735300,737500,741200,747900,755900,761200,765200
Westlake Village,8270,CA,2545,326200,327800,328400,329100,330600,330600,329900,328700,328300,330300,332400,331900,330300,329500,328500,328800,330000,331400,333200,337100,341700,346200,348700,350200,351900,355500,358600,360600,363600,368800,373800,378900,384700,390300,394400,397000,398800,402600,407800,412900,414000,412100,411300,413700,416000,417500,421100,426900,432500,437100,442900,448600,451600,452700,454300,457400,462300,468500,474800,478600,478300,477300,478600,478400,477900,480400,484500,486800,489900,493400,495700,499100,506000,511900,517300,527100,540500,553900,567200,578300,585500,593600,604400,612500,617500,622400,628800,636100,644700,653700,665900,681000,696500,708700,721000,737600,760700,784900,803100,815900,829900,838600,836600,834100,840300,849800,859100,866700,872000,874800,877000,879400,884400,897200,915400,929200,935400,940200,941800,940600,940000,943400,951900,962200,969100,972400,970600,959400,936700,915000,903600,904200,905900,905800,901100,894900,883300,870600,860300,854300,848900,847100,845500,835900,820600,809000,799400,789700,780800,774500,768400,762500,758300,757100,754100,746100,735600,724700,718000,717400,719700,721300,723700,726400,730600,736400,734900,730100,728900,729000,727100,720600,713700,710200,707600,707000,712400,713100,708200,707400,705700,702100,697200,689700,683200,672600,660900,656700,654800,643600,641100,650700,668300,682000,691600,702100,713100,719900,728600,740600,750100,758600,766700,772400,778200,787400,793400,796300,799000,804700,807600,802900,794500,793500,798500,804500,807500,808500,816700,828900,836900,842700,849000,853400,857600,864200,869100,868000,862200,857900,857700,859800,863200,869100,872600,872900,876600,885400,890500,892500,893100,895300,892000,886600,887200,898800,907800,914900,925700,942500,954500,960100,964200,968400,977200,987200,992000,989100,996500,1006800,1009500,1008800,1013400
Whittier,85331,CA,477,163900,164700,164800,164600,164400,164100,163900,163900,164500,165800,167000,167900,168300,168600,169100,169600,169900,170500,171200,172000,172700,174000,175600,177300,178000,178400,178700,179300,180100,181200,182700,184100,185000,186000,187200,187600,187700,188300,189300,190300,191700,193300,195100,197100,198800,200200,201600,203200,205200,207900,210900,213500,214900,215700,216700,218100,219900,222100,224300,226400,228300,230700,233600,236000,237700,239600,241200,242700,245100,248400,252000,255900,259300,261600,263800,267300,272000,276900,282200,287900,293600,298400,302100,304500,307300,311000,315000,320000,326600,333400,339600,346100,352500,359600,367400,375700,385900,396700,405100,412000,418400,424000,430000,436300,442100,448000,454100,460100,465700,472000,480900,490300,499200,509000,518900,526700,532500,536200,539800,545000,550200,554800,559600,562600,562200,559800,556200,552800,551200,550800,551400,551800,551100,548900,545900,541900,536800,531000,524600,517000,506300,494800,484200,474500,464900,454900,442800,432200,424800,418900,413200,408500,404300,400200,395700,391000,385900,380000,374800,372100,371500,372300,374400,376300,378600,381800,384600,384600,385100,386900,387900,386000,383800,381500,378800,375200,372900,371800,369600,366600,363700,360800,358500,356700,354700,352400,350100,348200,346800,346100,346700,348200,350000,352600,357600,363000,365800,367000,369200,374000,379600,384000,387800,393800,399900,405100,410400,417300,423700,428600,433100,437000,437800,437800,439200,440900,442100,444500,447200,449700,452300,454500,454900,455300,458200,461100,463500,466900,470300,472200,474700,477800,480800,483100,484800,486300,488000,490700,495100,499500,502900,505400,505800,504200,503900,507600,513700,519800,524600,528700,532200,536300,542400,548700,552900,554400,556600,560600,564500,568000,571800,574700,576000
